id,title,author,isbn,cover_url
1,Little Brother,Cory Doctorow,9780765319852,https://covers.openlibrary.org/b/isbn/9780765319852-M.jpg
2,My Youth Romantic Comedy Is Wrong,Wataru Watari,9781975360344,https://covers.openlibrary.org/b/isbn/9781975360344-M.jpg
3,Things Fall Apart,Chinua Achebe,9780385474542,https://covers.openlibrary.org/b/isbn/9780385474542-M.jpg
4,Think and Grow Rich,Napoleon Hill,1442152656,https://covers.openlibrary.org/b/isbn/1442152656-M.jpg
5,Napoleon Hill's Road to Success,Napoleon Hill,0981951198,https://covers.openlibrary.org/b/isbn/0981951198-M.jpg
6,Overcoming Barriers to Employment Success Workbook,LIPTAK JOHN J,9781633320307,https://covers.openlibrary.org/b/isbn/9781633320307-M.jpg
7,Inheritance,Hannie Rayson,9780868197203,https://covers.openlibrary.org/b/isbn/9780868197203-M.jpg
8,The purpose driven life,Rick Warren,031080647X,https://covers.openlibrary.org/b/isbn/031080647X-M.jpg
9,A Diary of Miracles,Aliss Cresswell,190527839X,https://covers.openlibrary.org/b/isbn/190527839X-M.jpg
10,Emotionally Healthy Relationships Course Workbook,Peter Scazzero,9780310081890,https://covers.openlibrary.org/b/isbn/9780310081890-M.jpg
11,Living Virtuously,Nichole Thomas,0998159700,https://covers.openlibrary.org/b/isbn/0998159700-M.jpg
12,Great Reset,Floriana Cerniglia,9781800643512,https://covers.openlibrary.org/b/isbn/9781800643512-M.jpg
13,Harry Potter and the Sorcerer's Stone,J. K. Rowling,0545790352,https://covers.openlibrary.org/b/isbn/0545790352-M.jpg
14,The 48 Laws of Power,Robert Greene,0670881465,https://covers.openlibrary.org/b/isbn/0670881465-M.jpg
15,Mastery,Robert Greene,0670024961,https://covers.openlibrary.org/b/isbn/0670024961-M.jpg
16,College Success,Amy Baldwin,9781951693169,https://covers.openlibrary.org/b/isbn/9781951693169-M.jpg
17,Wings of Fire,A. P. J. Abdul Kalam,8173711461,https://covers.openlibrary.org/b/isbn/8173711461-M.jpg
18,Summary of Quiet by Susan Cain, Bookhabits,9781389007521,https://covers.openlibrary.org/b/isbn/9781389007521-M.jpg
19,Nineteen eighty-four,George Orwell,0198185219,https://covers.openlibrary.org/b/isbn/0198185219-M.jpg
20,Rich dad poor dad,Robert T. Kiyosaki,9781978691681,https://covers.openlibrary.org/b/isbn/9781978691681-M.jpg

